No,Fase,Bulan/Sprint Target,Modul,Task Teknis,Kategori,Tabel/Model Terkait (Supabase),Prioritas,Status,Catatan,Prompt (Copy-Paste ke AI Coding Agent)
1,Fase 0 - Pra-Development,Agustus 2026 (Minggu 1-2),Keputusan Bisnis,Konfirmasi nominal resmi Biaya Registrasi (Rp250.000) & fee SPP per program untuk seed data awal,Bisnis,programs,Wajib,Belum Dikerjakan,,"[BUKAN TASK CODING — keputusan bisnis] Konfirmasi nominal resmi Biaya Registrasi (Rp250.000) & fee SPP per program untuk seed data awal
Ini butuh keputusan/jawaban dari pihak terkait (Pemilik/Manajemen Bimbel Grase, Staf Admin Pusat, atau Pengajar/Tutor), bukan sesuatu yang bisa dikerjakan AI coding agent. Diskusikan dulu, catat hasil keputusannya di kolom Catatan, baru task teknis terkait bisa mulai dikerjakan."
2,Fase 0 - Pra-Development,Agustus 2026 (Minggu 1-2),Keputusan Bisnis,"Konfirmasi apakah Guru/Tutor jadi role terpisah dengan akses terbatas, atau tetap disatukan dalam role Admin Pusat",Bisnis,profiles,Wajib,Belum Dikerjakan,,"[BUKAN TASK CODING — keputusan bisnis] Konfirmasi apakah Guru/Tutor jadi role terpisah dengan akses terbatas, atau tetap disatukan dalam role Admin Pusat
Ini butuh keputusan/jawaban dari pihak terkait (Pemilik/Manajemen Bimbel Grase, Staf Admin Pusat, atau Pengajar/Tutor), bukan sesuatu yang bisa dikerjakan AI coding agent. Diskusikan dulu, catat hasil keputusannya di kolom Catatan, baru task teknis terkait bisa mulai dikerjakan."
3,Fase 0 - Pra-Development,Agustus 2026 (Minggu 1-2),Keputusan Bisnis,"Konfirmasi kebijakan Paywall: apakah ada akses parsial (preview modul) saat status 'pending', atau full-lock sampai 'verified'",Bisnis,students,Wajib,Belum Dikerjakan,,"[BUKAN TASK CODING — keputusan bisnis] Konfirmasi kebijakan Paywall: apakah ada akses parsial (preview modul) saat status 'pending', atau full-lock sampai 'verified'
Ini butuh keputusan/jawaban dari pihak terkait (Pemilik/Manajemen Bimbel Grase, Staf Admin Pusat, atau Pengajar/Tutor), bukan sesuatu yang bisa dikerjakan AI coding agent. Diskusikan dulu, catat hasil keputusannya di kolom Catatan, baru task teknis terkait bisa mulai dikerjakan."
4,Fase 0 - Pra-Development,Agustus 2026 (Minggu 1-2),Keputusan Bisnis,Konfirmasi kanal pembayaran resmi (no. rekening BCA & ID/QR QRIS) yang ditampilkan ke orang tua,Bisnis,-,Wajib,Belum Dikerjakan,,"[BUKAN TASK CODING — keputusan bisnis] Konfirmasi kanal pembayaran resmi (no. rekening BCA & ID/QR QRIS) yang ditampilkan ke orang tua
Ini butuh keputusan/jawaban dari pihak terkait (Pemilik/Manajemen Bimbel Grase, Staf Admin Pusat, atau Pengajar/Tutor), bukan sesuatu yang bisa dikerjakan AI coding agent. Diskusikan dulu, catat hasil keputusannya di kolom Catatan, baru task teknis terkait bisa mulai dikerjakan."
5,Fase 0 - Pra-Development,Agustus 2026 (Minggu 1-2),Keputusan Bisnis,"Finalisasi daftar Program/Kelas awal (nama, target usia, tutor, jadwal, fee, deskripsi) untuk seed database",Bisnis,programs,Wajib,Belum Dikerjakan,,"[BUKAN TASK CODING — keputusan bisnis] Finalisasi daftar Program/Kelas awal (nama, target usia, tutor, jadwal, fee, deskripsi) untuk seed database
Ini butuh keputusan/jawaban dari pihak terkait (Pemilik/Manajemen Bimbel Grase, Staf Admin Pusat, atau Pengajar/Tutor), bukan sesuatu yang bisa dikerjakan AI coding agent. Diskusikan dulu, catat hasil keputusannya di kolom Catatan, baru task teknis terkait bisa mulai dikerjakan."
6,Fase 0 - Pra-Development,Agustus 2026 (Minggu 1-2),Keputusan Bisnis,"Konfirmasi kebijakan retensi & akses data sensitif (nomor WA orang tua, foto anak, riwayat bayar) sesuai UU PDP",Bisnis,"profiles, students",Tinggi,Belum Dikerjakan,,"[BUKAN TASK CODING — keputusan bisnis] Konfirmasi kebijakan retensi & akses data sensitif (nomor WA orang tua, foto anak, riwayat bayar) sesuai UU PDP
Ini butuh keputusan/jawaban dari pihak terkait (Pemilik/Manajemen Bimbel Grase, Staf Admin Pusat, atau Pengajar/Tutor), bukan sesuatu yang bisa dikerjakan AI coding agent. Diskusikan dulu, catat hasil keputusannya di kolom Catatan, baru task teknis terkait bisa mulai dikerjakan."
7,Fase 0 - Pra-Development,Agustus 2026 (Minggu 1-2),Keputusan Bisnis,"Konfirmasi threshold predikat huruf A/B/C untuk nilai tugas & kuis (skor berapa batas A, B, C)",Bisnis,grades,Tinggi,Belum Dikerjakan,,"[BUKAN TASK CODING — keputusan bisnis] Konfirmasi threshold predikat huruf A/B/C untuk nilai tugas & kuis (skor berapa batas A, B, C)
Ini butuh keputusan/jawaban dari pihak terkait (Pemilik/Manajemen Bimbel Grase, Staf Admin Pusat, atau Pengajar/Tutor), bukan sesuatu yang bisa dikerjakan AI coding agent. Diskusikan dulu, catat hasil keputusannya di kolom Catatan, baru task teknis terkait bisa mulai dikerjakan."
8,Fase 0 - Pra-Development,Agustus 2026 (Minggu 1-2),Setup Infrastruktur,"Buat project Supabase (Database Postgres, Auth, Storage) untuk environment development",Infra,-,Wajib,Belum Dikerjakan,,"[TASK SETUP/INFRA — sebagian bisa dibantu AI coding agent untuk generate konfigurasi, tapi eksekusi akun/dashboard tetap manual] Buat project Supabase (Database Postgres, Auth, Storage) untuk environment development
Kalau ada bagian yang bisa digenerate lewat script/CLI (mis. `supabase init`, `vercel env pull`, config file), minta AI coding agent buatkan filenya dan tunjukkan hasilnya. Langkah yang murni administratif (klik di dashboard Supabase/Vercel, beli domain, dsb.) tetap dikerjakan sendiri di browser/terminal."
9,Fase 0 - Pra-Development,Agustus 2026 (Minggu 1-2),Setup Infrastruktur,"Setup project Next.js (App Router, TypeScript) + Tailwind CSS dari awal",Infra,-,Wajib,Belum Dikerjakan,,"[TASK SETUP/INFRA — sebagian bisa dibantu AI coding agent untuk generate konfigurasi, tapi eksekusi akun/dashboard tetap manual] Setup project Next.js (App Router, TypeScript) + Tailwind CSS dari awal
Kalau ada bagian yang bisa digenerate lewat script/CLI (mis. `supabase init`, `vercel env pull`, config file), minta AI coding agent buatkan filenya dan tunjukkan hasilnya. Langkah yang murni administratif (klik di dashboard Supabase/Vercel, beli domain, dsb.) tetap dikerjakan sendiri di browser/terminal."
10,Fase 0 - Pra-Development,Agustus 2026 (Minggu 1-2),Setup Infrastruktur,"Install & konfigurasi Supabase client (@supabase/supabase-js, @supabase/ssr) untuk Server Component, Client Component, dan Server Action",Infra,-,Wajib,Belum Dikerjakan,,"[TASK SETUP/INFRA — sebagian bisa dibantu AI coding agent untuk generate konfigurasi, tapi eksekusi akun/dashboard tetap manual] Install & konfigurasi Supabase client (@supabase/supabase-js, @supabase/ssr) untuk Server Component, Client Component, dan Server Action
Kalau ada bagian yang bisa digenerate lewat script/CLI (mis. `supabase init`, `vercel env pull`, config file), minta AI coding agent buatkan filenya dan tunjukkan hasilnya. Langkah yang murni administratif (klik di dashboard Supabase/Vercel, beli domain, dsb.) tetap dikerjakan sendiri di browser/terminal."
11,Fase 0 - Pra-Development,Agustus 2026 (Minggu 1-2),Setup Infrastruktur,Setup Git repository (branching main/staging/dev) dan push ke GitHub,Infra,-,Wajib,Belum Dikerjakan,,"[TASK SETUP/INFRA — sebagian bisa dibantu AI coding agent untuk generate konfigurasi, tapi eksekusi akun/dashboard tetap manual] Setup Git repository (branching main/staging/dev) dan push ke GitHub
Kalau ada bagian yang bisa digenerate lewat script/CLI (mis. `supabase init`, `vercel env pull`, config file), minta AI coding agent buatkan filenya dan tunjukkan hasilnya. Langkah yang murni administratif (klik di dashboard Supabase/Vercel, beli domain, dsb.) tetap dikerjakan sendiri di browser/terminal."
12,Fase 0 - Pra-Development,Agustus 2026 (Minggu 1-2),Setup Infrastruktur,"Hubungkan repo GitHub ke Vercel: Preview Deployment otomatis per branch/PR, Production dari branch main",Infra,-,Wajib,Belum Dikerjakan,,"[TASK SETUP/INFRA — sebagian bisa dibantu AI coding agent untuk generate konfigurasi, tapi eksekusi akun/dashboard tetap manual] Hubungkan repo GitHub ke Vercel: Preview Deployment otomatis per branch/PR, Production dari branch main
Kalau ada bagian yang bisa digenerate lewat script/CLI (mis. `supabase init`, `vercel env pull`, config file), minta AI coding agent buatkan filenya dan tunjukkan hasilnya. Langkah yang murni administratif (klik di dashboard Supabase/Vercel, beli domain, dsb.) tetap dikerjakan sendiri di browser/terminal."
13,Fase 0 - Pra-Development,Agustus 2026 (Minggu 1-2),Setup Infrastruktur,"Konfigurasi environment variables di Vercel (NEXT_PUBLIC_SUPABASE_URL, NEXT_PUBLIC_SUPABASE_ANON_KEY, SUPABASE_SERVICE_ROLE_KEY) terpisah untuk Preview & Production",Infra,-,Wajib,Belum Dikerjakan,,"[TASK SETUP/INFRA — sebagian bisa dibantu AI coding agent untuk generate konfigurasi, tapi eksekusi akun/dashboard tetap manual] Konfigurasi environment variables di Vercel (NEXT_PUBLIC_SUPABASE_URL, NEXT_PUBLIC_SUPABASE_ANON_KEY, SUPABASE_SERVICE_ROLE_KEY) terpisah untuk Preview & Production
Kalau ada bagian yang bisa digenerate lewat script/CLI (mis. `supabase init`, `vercel env pull`, config file), minta AI coding agent buatkan filenya dan tunjukkan hasilnya. Langkah yang murni administratif (klik di dashboard Supabase/Vercel, beli domain, dsb.) tetap dikerjakan sendiri di browser/terminal."
14,Fase 0 - Pra-Development,Agustus 2026 (Minggu 1-2),Setup Infrastruktur,"Buat Supabase Storage buckets: avatars, payment-proofs, modules-pdf, assignment-submissions + kebijakan akses privat/publik per bucket",Infra,-,Wajib,Belum Dikerjakan,,"[TASK SETUP/INFRA — sebagian bisa dibantu AI coding agent untuk generate konfigurasi, tapi eksekusi akun/dashboard tetap manual] Buat Supabase Storage buckets: avatars, payment-proofs, modules-pdf, assignment-submissions + kebijakan akses privat/publik per bucket
Kalau ada bagian yang bisa digenerate lewat script/CLI (mis. `supabase init`, `vercel env pull`, config file), minta AI coding agent buatkan filenya dan tunjukkan hasilnya. Langkah yang murni administratif (klik di dashboard Supabase/Vercel, beli domain, dsb.) tetap dikerjakan sendiri di browser/terminal."
